id,name,nickname,description,code,alphaVal,numVal,acro,cat,subcat,hits180,canConnect,hasFullTwist,isDoubleSalto,isAerial,receivesCreditOnce
116,Full twist tucked,,Salto bwd tucked with 1/1 twist (360 deg),5.201,B,2,1,Backward Saltos,,0,1,1,0,0,0
117,Full twist laid-out,,Salto bwd stretched with 1/1 twist (360 deg),5.201,B,2,1,Backward Saltos,,0,1,1,0,0,0
118,3/2 twist,,Salto bwd stretched with 1 1/2 twist (540 deg),5.301,C,3,1,Backward Saltos,,0,1,1,0,0,0
119,Double twist,,Salto bwd stretched with 2/1 twist (720 deg),5.301,C,3,1,Backward Saltos,,0,1,1,0,0,0
120,5/2 twist,,Salto bwd stretched with 2 1/2 twist (900 deg),5.401,D,4,1,Backward Saltos,,0,1,1,0,0,0
121,Triple twist,,Salto bwd stretched with 3/1 twist (1080 deg),5.501,E,5,1,Backward Saltos,,0,1,1,0,0,0
122,7/2 twist,,Salto bwd stretched with 3 1/2 twist (1260 deg),5.601,F,6,1,Backward Saltos,,0,1,1,0,0,0
123,Double tuck,,Double salto bwd tucked,5.402,D,4,1,Backward Saltos,,0,1,0,1,0,0
124,Double pike,,Double salto bwd piked,5.402,D,4,1,Backward Saltos,,0,1,0,1,0,0
125,Full-twisting double tuck,,Double salto bwd tucked with 1/1 twist (360 deg),5.502,E,5,1,Backward Saltos,,0,1,1,1,0,0
126,Full-twisting double pike,,Double salto bwd piked with 1/1 twist (360 deg),5.502,E,5,1,Backward Saltos,,0,1,1,1,0,0
127,Double-twisting double back,Silivas,Double salto bwd tucked with 2/1 twist (720 deg),5.802,H,8,1,Backward Saltos,,0,1,1,1,0,0
128,Triple-twisting double back,Biles II,Double salto bwd tucked with 3/1 twist (1080 deg),5.1002,J,10,1,Backward Saltos,,0,1,1,1,0,0
129,Double layout,,Double salto bwd stretched,5.603,F,6,1,Backward Saltos,,0,1,0,1,0,0
130,Double layout 1/2 out,Biles I,Double Salto bwd stretched with 1/2 twist (180 deg),5.703,G,7,1,Backward Saltos,,0,1,0,1,0,0
131,Full-twisting double layout,Chusovitina,Double salto bwd stretched with 1/1 twist (360 deg),5.803,H,8,1,Backward Saltos,,0,1,1,1,0,0
132,Double-twisting double layout,Moors,Double Salto bwd stretched with 2/1 twist (720 deg),5.903,I,9,1,Backward Saltos,,0,1,1,1,0,0
133,Whip,,Whip salto bwd,5.104,A,1,1,Backward Saltos,,0,1,0,0,0,0
134,Whip 1/2,,Whip salto bwd with 1/2 twist (180 deg),5.204,B,2,1,Backward Saltos,,0,1,0,0,0,0
135,Whip 1/1,,Whip salto bwd with 1/1 twist (360 deg),5.304,C,3,1,Backward Saltos,,0,1,1,0,0,0
